Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
ACE25C512	ACE	A13110	65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN256	ADESTO	1F4000	32768	256	3.3	SPI	25xx	SPI_NOR	true
A25L005	AMIC	373010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L010	AMIC	373011	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L016	AMIC	373015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L020	AMIC	373012	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L032	AMIC	373016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25L040	AMIC	373013	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PT	AMIC	372020	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PU	AMIC	372010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L064	AMIC	373017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
A25L080	AMIC	373014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PT	AMIC	372021	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PU	AMIC	372011	131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L128	AMIC	373018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PT	AMIC	372025	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PU	AMIC	372015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PT	AMIC	372022	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PU	AMIC	372012	262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PT	AMIC	372023	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PU	AMIC	372013	524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L512	AMIC	373010	65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PT	AMIC	372024	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PU	AMIC	372014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ032	AMIC	374016	4194304	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ064	AMIC	374017	8388608	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ128	AMIC	374018	16777216	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ16	AMIC	374015	2097152	256	1.8	SPI	25xx	SPI_NOR	true
A25LQ32A	AMIC	374016	4194304	256	1.8	SPI	25xx	SPI_NOR	true
ATO25Q32	ATO	9B3216	4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25010A	Atmel	000000	128	8	3.3	SPI	25xx	SPI_NOR	true
AT25020A	Atmel	000000	256	8	3.3	SPI	25xx	SPI_NOR	true
AT25040A	Atmel	000000	512	8	3.3	SPI	25xx	SPI_NOR	true
AT25080A	Atmel	000000	1024	16	3.3	SPI	25xx	SPI_NOR	true
AT25160A	Atmel	000000	2048	16	3.3	SPI	25xx	SPI_NOR	true
AT25256A	Atmel	000000	32768	64	3.3	SPI	25xx	SPI_NOR	true
AT25320A	Atmel	000000	4096	16	3.3	SPI	25xx	SPI_NOR	true
AT25512	Atmel	000000	65536	128	3.3	SPI	25xx	SPI_NOR	true
AT25640A	Atmel	000000	8192	16	3.3	SPI	25xx	SPI_NOR	true
AT25F512	Atmel	1F65	65536	256	3.3	SPI	25xx	SPI_NOR	true
BH25Q128	BOHONG	684018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
BH25Q16	BOHONG	684015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
BH25Q32	BOHONG	684016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
BH25Q64	BOHONG	684017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q128A	Berg Micro	E04018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q16A	Berg Micro	E04015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q32A	Berg Micro	E04016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q40A	Berg Micro	E04013	524288	256	3.3	SPI	25xx	SPI_NOR	true
BG25Q64A	Berg Micro	E04017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25D80	Boya	684014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10	Boya	684011	131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q128	Boya	684018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q16	Boya	684015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20	Boya	684012	262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q256	Boya	684019	33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q32	Boya	684016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40	Boya	684013	524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q64	Boya	684017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q80	Boya	684014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q16AL	BoyaMicro	E06015	2097152	256	1.8	SPI	25xx	SPI_NOR	true
BY25Q64AS	BoyaMicro	684017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
S25FL004A	Cypress	010212	524288	256	3.3	SPI	25xx	SPI_NOR	true
S25FL008A	Cypress	010213	1048576	256	3.3	SPI	25xx	SPI_NOR	true
S25FL016A	Cypress	010214	2097152	256	3.3	SPI	25xx	SPI_NOR	true
S25FL032A	Cypress	010215	4194304	256	3.3	SPI	25xx	SPI_NOR	true
S25FL064A	Cypress	010216	8388608	256	3.3	SPI	25xx	SPI_NOR	true
S25FL116K	Cypress	014015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
S25FL128P	Cypress	012018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
S25FL128S	Cypress	012018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
S25FL132K	Cypress	014016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
S25FL164K	Cypress	014017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
S25FL256S	Cypress	012019	33554432	256	3.3	SPI	25xx	SPI_NOR	true
S25FL512S	Cypress	012020	67108864	256	3.3	SPI	25xx	SPI_NOR	true
AC25LV010	DEUTRON	9D7C00	131072	256	3.3	SPI	25xx	SPI_NOR	true
AC25LV512	DEUTRON	9D7B00	65536	256	3.3	SPI	25xx	SPI_NOR	true
DQ25Q128A	DOUQI	544018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
DQ25Q16A	DOUQI	544015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
DQ25Q32A	DOUQI	544016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
DQ25Q64A	DOUQI	544017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
DS25M128A	Dosilicon	E54018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
DS25M16A	Dosilicon	E54015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
DS25M32A	Dosilicon	E54016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
DS25M4A	Dosilicon	E54013	524288	256	3.3	SPI	25xx	SPI_NOR	true
DS25M64A	Dosilicon	E54017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
DS25M8A	Dosilicon	E54014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
DS25Q128A	Dosilicon	E54018	16777216	256	3.3	SPI	25xx	SPI_NOR	true
DS25Q256A	Dosilicon	E54019	33554432	256	3.3	SPI	25xx	SPI_NOR	true
EM25LV010	ESMT	9D7C00	131072	256	3.3	SPI	25xx	SPI_NOR	true
EM25LV512	ESMT	9D7B00	65536	256	3.3	SPI	25xx	SPI_NOR	true
F25L004A	ESMT	8C2013	524288	256	3.3	SPI	25xx	SPI_NOR	true
F25L008A	ESMT	8C2014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
F25L016A	ESMT	8C2015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
F25L04P	ESMT	8C2013	524288	256	3.3	SPI	25xx	SPI_NOR	true
F25L08P	ESMT	8C2014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
F25L16P	ESMT	8C2015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
F25L32P	ESMT	8C2016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
F25L32Q	ESMT	8C4016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
F25L64QA	ESMT	8C4117	8388608	256	3.3	SPI	25xx	SPI_NOR	true
F25S04P	ESMT	8C3013	524288	256	3.3	SPI	25xx	SPI_NOR	true
ES25M16A	EXCELSEMI	4A3215	2097152	256	3.3	SPI	25xx	SPI_NOR	true
ES25M40A	EXCELSEMI	4A3213	524288	256	3.3	SPI	25xx	SPI_NOR	true
ES25M80A	EXCELSEMI	4A3214	1048576	256	3.3	SPI	25xx	SPI_NOR	true
ES25P10	EXCELSEMI	4A2011	131072	256	3.3	SPI	25xx	SPI_NOR	true
ES25P16	EXCELSEMI	4A2015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
ES25P20	EXCELSEMI	4A2012	262144	256	3.3	SPI	25xx	SPI_NOR	true
ES25P32	EXCELSEMI	4A2016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
ES25P40	EXCELSEMI	4A2013	524288	256	3.3	SPI	25xx	SPI_NOR	true
ES25P80	EXCELSEMI	4A2014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
EN25B05	Eon Silicon	1C2010	65536	256	3.3	SPI	25xx	SPI_NOR	true
EN25B10	Eon Silicon	1C2011	131072	256	3.3	SPI	25xx	SPI_NOR	true
EN25B16	Eon Silicon	1C2015	2097152	256	3.3	SPI	25xx	SPI_NOR	true
EN25B20	Eon Silicon	1C2012	262144	256	3.3	SPI	25xx	SPI_NOR	true
EN25B32	Eon Silicon	1C2016	4194304	256	3.3	SPI	25xx	SPI_NOR	true
EN25B40	Eon Silicon	1C2013	524288	256	3.3	SPI	25xx	SPI_NOR	true
EN25B64	Eon Silicon	1C2017	8388608	256	3.3	SPI	25xx	SPI_NOR	true
EN25B80	Eon Silicon	1C2014	1048576	256	3.3	SPI	25xx	SPI_NOR	true
EN25F05	Eon Silicon	1C3110	65536	256	3.3	SPI	25xx	SPI_NOR	true
EN25F10	Eon Silicon	1C3111	131072	256	3.3	SPI	25xx	SPI_NOR	true
EN25F16	Eon Silicon	1C3115	2097152	256	3.3	SPI	25xx	SPI_NOR	true
EN25F20	Eon Silicon	1C3112	262144	256	3.3	SPI	25xx	SPI_NOR	true
EN25F32	Eon Silicon	1C3116	4194304	256	3.3	SPI	25xx	SPI_NOR	true
EN25F40	Eon Silicon	1C3113	524288	256	3.3	SPI	25xx	SPI_NOR	true
EN25F64	Eon Silicon	1C3117	8388608	256	3.3	SPI	25xx	SPI_NOR	true
EN25F80	Eon Silicon	1C3114	1048576	256	3.3	SPI	25xx	SPI_NOR	true
EN25LF05	Eon Silicon	1C3110	65536	256	3.3	SPI	25xx	SPI_NOR	true
EN25LF10	Eon Silicon	1C3111	131072	256	3.3	SPI	25xx	SPI_NOR	true
EN25LF20	Eon Silicon	1C3112	262144	256	3.3	SPI	25xx	SPI_NOR	true
EN25LF40	Eon Silicon	1C3113	524288	256	3.3	SPI	25xx	SPI_NOR	true
EN25P05	Eon Silicon	1C2010	65536	256	3.3	SPI	25xx	SPI_NOR	true
EN25P10	Eon Silicon	1C2011	131072	256	3.3	SPI	25xx	SPI_NOR	true
